Geo__geoid_,Geo__geo_level_,Geo_Name,Geo_qname,ORGU_total_number_of_people_unemployed_M01,ORGU_unemployment_rate_M01
"48411","SL050","San Saba County, Texas","San Saba County, Texas",76,3.5
"48413","SL050","Schleicher County, Texas","Schleicher County, Texas",41,4.5
"48415","SL050","Scurry County, Texas","Scurry County, Texas",260,3.7
"48417","SL050","Shackelford County, Texas","Shackelford County, Texas",54,3.4
"48419","SL050","Shelby County, Texas","Shelby County, Texas",461,4.8
"48421","SL050","Sherman County, Texas","Sherman County, Texas",43,3
"48423","SL050","Smith County, Texas","Smith County, Texas",4671,3.9
"48425","SL050","Somervell County, Texas","Somervell County, Texas",195,4.3
"48427","SL050","Starr County, Texas","Starr County, Texas",2657,10.5
"48429","SL050","Stephens County, Texas","Stephens County, Texas",160,4.5
"48431","SL050","Sterling County, Texas","Sterling County, Texas",20,3
"48433","SL050","Stonewall County, Texas","Stonewall County, Texas",23,2.6
"48435","SL050","Sutton County, Texas","Sutton County, Texas",61,6.5
"48437","SL050","Swisher County, Texas","Swisher County, Texas",111,4.5
"48439","SL050","Tarrant County, Texas","Tarrant County, Texas",46890,3.9
"48441","SL050","Taylor County, Texas","Taylor County, Texas",2547,3.4
"48443","SL050","Terrell County, Texas","Terrell County, Texas",11,3.2
"48445","SL050","Terry County, Texas","Terry County, Texas",188,4
"48447","SL050","Throckmorton County, Texas","Throckmorton County, Texas",30,4.5
"48449","SL050","Titus County, Texas","Titus County, Texas",600,4
"48451","SL050","Tom Green County, Texas","Tom Green County, Texas",2045,3.3
"48453","SL050","Travis County, Texas","Travis County, Texas",29419,3.4
"48455","SL050","Trinity County, Texas","Trinity County, Texas",272,5.2
"48457","SL050","Tyler County, Texas","Tyler County, Texas",417,6.4
"48459","SL050","Upshur County, Texas","Upshur County, Texas",854,4.6
"48461","SL050","Upton County, Texas","Upton County, Texas",56,1.7
"48463","SL050","Uvalde County, Texas","Uvalde County, Texas",460,4.3
"48465","SL050","Val Verde County, Texas","Val Verde County, Texas",1061,5
"48467","SL050","Van Zandt County, Texas","Van Zandt County, Texas",1147,4.1
"48469","SL050","Victoria County, Texas","Victoria County, Texas",1720,4.1
"48471","SL050","Walker County, Texas","Walker County, Texas",1286,4.2
"48473","SL050","Waller County, Texas","Waller County, Texas",1563,5
"48475","SL050","Ward County, Texas","Ward County, Texas",218,3.4
"48477","SL050","Washington County, Texas","Washington County, Texas",703,4
"48479","SL050","Webb County, Texas","Webb County, Texas",5250,4.3
"48481","SL050","Wharton County, Texas","Wharton County, Texas",855,4.4
"48483","SL050","Wheeler County, Texas","Wheeler County, Texas",80,3.4
"48485","SL050","Wichita County, Texas","Wichita County, Texas",2216,3.8
"48487","SL050","Wilbarger County, Texas","Wilbarger County, Texas",243,3.8
"48489","SL050","Willacy County, Texas","Willacy County, Texas",512,5.5
"48491","SL050","Williamson County, Texas","Williamson County, Texas",14993,3.6
"48493","SL050","Wilson County, Texas","Wilson County, Texas",957,3.6
"48495","SL050","Winkler County, Texas","Winkler County, Texas",153,3.1
"48497","SL050","Wise County, Texas","Wise County, Texas",1525,3.7
"48499","SL050","Wood County, Texas","Wood County, Texas",853,4.7
"48501","SL050","Yoakum County, Texas","Yoakum County, Texas",123,3.8
"48503","SL050","Young County, Texas","Young County, Texas",300,3.5
"48505","SL050","Zapata County, Texas","Zapata County, Texas",363,7.8
"48507","SL050","Zavala County, Texas","Zavala County, Texas",300,6.9
