Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,People in Poverty,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cpov,TimeFrame,GeoVintage,Source,Location
County,Frio,TX,48163,48163,3182,2020-2024,2022,Census,Texas (State)
County,Gaines,TX,48165,48165,1506,2020-2024,2022,Census,Texas (State)
County,Galveston,TX,48167,48167,41318,2020-2024,2022,Census,Texas (State)
County,Garza,TX,48169,48169,315,2020-2024,2022,Census,Texas (State)
County,Gillespie,TX,48171,48171,2503,2020-2024,2022,Census,Texas (State)
County,Glasscock,TX,48173,48173,95,2020-2024,2022,Census,Texas (State)
County,Goliad,TX,48175,48175,918,2020-2024,2022,Census,Texas (State)
County,Gonzales,TX,48177,48177,3091,2020-2024,2022,Census,Texas (State)
County,Gray,TX,48179,48179,3036,2020-2024,2022,Census,Texas (State)
County,Grayson,TX,48181,48181,15664,2020-2024,2022,Census,Texas (State)
County,Gregg,TX,48183,48183,19597,2020-2024,2022,Census,Texas (State)
County,Grimes,TX,48185,48185,4044,2020-2024,2022,Census,Texas (State)
County,Guadalupe,TX,48187,48187,16914,2020-2024,2022,Census,Texas (State)
County,Hale,TX,48189,48189,6194,2020-2024,2022,Census,Texas (State)
County,Hall,TX,48191,48191,451,2020-2024,2022,Census,Texas (State)
County,Hamilton,TX,48193,48193,1347,2020-2024,2022,Census,Texas (State)
County,Hansford,TX,48195,48195,433,2020-2024,2022,Census,Texas (State)
County,Hardeman,TX,48197,48197,366,2020-2024,2022,Census,Texas (State)
County,Hardin,TX,48199,48199,6902,2020-2024,2022,Census,Texas (State)
County,Harris,TX,48201,48201,777921,2020-2024,2022,Census,Texas (State)
County,Harrison,TX,48203,48203,10574,2020-2024,2022,Census,Texas (State)
County,Hartley,TX,48205,48205,358,2020-2024,2022,Census,Texas (State)
County,Haskell,TX,48207,48207,865,2020-2024,2022,Census,Texas (State)
County,Hays,TX,48209,48209,31591,2020-2024,2022,Census,Texas (State)
County,Hemphill,TX,48211,48211,197,2020-2024,2022,Census,Texas (State)
County,Henderson,TX,48213,48213,12286,2020-2024,2022,Census,Texas (State)
County,Hidalgo,TX,48215,48215,235512,2020-2024,2022,Census,Texas (State)
County,Hill,TX,48217,48217,5363,2020-2024,2022,Census,Texas (State)
County,Hockley,TX,48219,48219,2719,2020-2024,2022,Census,Texas (State)
County,Hood,TX,48221,48221,4978,2020-2024,2022,Census,Texas (State)
County,Hopkins,TX,48223,48223,4421,2020-2024,2022,Census,Texas (State)
County,Houston,TX,48225,48225,2914,2020-2024,2022,Census,Texas (State)
County,Howard,TX,48227,48227,4006,2020-2024,2022,Census,Texas (State)
County,Hudspeth,TX,48229,48229,508,2020-2024,2022,Census,Texas (State)
County,Hunt,TX,48231,48231,12424,2020-2024,2022,Census,Texas (State)
County,Hutchinson,TX,48233,48233,2652,2020-2024,2022,Census,Texas (State)
County,Irion,TX,48235,48235,152,2020-2024,2022,Census,Texas (State)
County,Jack,TX,48237,48237,1011,2020-2024,2022,Census,Texas (State)
County,Jackson,TX,48239,48239,2101,2020-2024,2022,Census,Texas (State)
County,Jasper,TX,48241,48241,6520,2020-2024,2022,Census,Texas (State)
County,Jeff Davis,TX,48243,48243,442,2020-2024,2022,Census,Texas (State)
County,Jefferson,TX,48245,48245,46448,2020-2024,2022,Census,Texas (State)
County,Jim Hogg,TX,48247,48247,1451,2020-2024,2022,Census,Texas (State)
County,Jim Wells,TX,48249,48249,9492,2020-2024,2022,Census,Texas (State)
County,Johnson,TX,48251,48251,19224,2020-2024,2022,Census,Texas (State)
County,Jones,TX,48253,48253,2035,2020-2024,2022,Census,Texas (State)
County,Karnes,TX,48255,48255,2223,2020-2024,2022,Census,Texas (State)
County,Kaufman,TX,48257,48257,16548,2020-2024,2022,Census,Texas (State)
County,Kendall,TX,48259,48259,2405,2020-2024,2022,Census,Texas (State)
County,Kenedy,TX,48261,48261,22,2020-2024,2022,Census,Texas (State)
County,Kent,TX,48263,48263,67,2020-2024,2022,Census,Texas (State)
County,Kerr,TX,48265,48265,5834,2020-2024,2022,Census,Texas (State)
County,Kimble,TX,48267,48267,505,2020-2024,2022,Census,Texas (State)
County,King,TX,48269,48269,50,2020-2024,2022,Census,Texas (State)
County,Kinney,TX,48271,48271,236,2020-2024,2022,Census,Texas (State)
County,Kleberg,TX,48273,48273,8077,2020-2024,2022,Census,Texas (State)
County,Knox,TX,48275,48275,502,2020-2024,2022,Census,Texas (State)
County,Lamar,TX,48277,48277,9460,2020-2024,2022,Census,Texas (State)
County,Lamb,TX,48279,48279,1887,2020-2024,2022,Census,Texas (State)
County,Lampasas,TX,48281,48281,2052,2020-2024,2022,Census,Texas (State)
County,La Salle,TX,48283,48283,1222,2020-2024,2022,Census,Texas (State)
County,Lavaca,TX,48285,48285,2304,2020-2024,2022,Census,Texas (State)
County,Lee,TX,48287,48287,1986,2020-2024,2022,Census,Texas (State)
County,Leon,TX,48289,48289,2654,2020-2024,2022,Census,Texas (State)
County,Liberty,TX,48291,48291,18229,2020-2024,2022,Census,Texas (State)
County,Limestone,TX,48293,48293,3669,2020-2024,2022,Census,Texas (State)
County,Lipscomb,TX,48295,48295,328,2020-2024,2022,Census,Texas (State)
County,Live Oak,TX,48297,48297,1717,2020-2024,2022,Census,Texas (State)
County,Llano,TX,48299,48299,2662,2020-2024,2022,Census,Texas (State)
County,Loving,TX,48301,48301,2,2020-2024,2022,Census,Texas (State)
County,Lubbock,TX,48303,48303,52494,2020-2024,2022,Census,Texas (State)
County,Lynn,TX,48305,48305,867,2020-2024,2022,Census,Texas (State)
County,McCulloch,TX,48307,48307,1129,2020-2024,2022,Census,Texas (State)
County,McLennan,TX,48309,48309,42565,2020-2024,2022,Census,Texas (State)
County,McMullen,TX,48311,48311,86,2020-2024,2022,Census,Texas (State)
County,Madison,TX,48313,48313,1241,2020-2024,2022,Census,Texas (State)
County,Marion,TX,48315,48315,1763,2020-2024,2022,Census,Texas (State)
County,Martin,TX,48317,48317,428,2020-2024,2022,Census,Texas (State)
County,Mason,TX,48319,48319,276,2020-2024,2022,Census,Texas (State)
County,Matagorda,TX,48321,48321,7453,2020-2024,2022,Census,Texas (State)
County,Maverick,TX,48323,48323,13119,2020-2024,2022,Census,Texas (State)
County,Medina,TX,48325,48325,4918,2020-2024,2022,Census,Texas (State)
County,Menard,TX,48327,48327,360,2020-2024,2022,Census,Texas (State)
County,Midland,TX,48329,48329,19655,2020-2024,2022,Census,Texas (State)
County,Milam,TX,48331,48331,3241,2020-2024,2022,Census,Texas (State)
County,Mills,TX,48333,48333,311,2020-2024,2022,Census,Texas (State)
County,Mitchell,TX,48335,48335,1052,2020-2024,2022,Census,Texas (State)
County,Montague,TX,48337,48337,2947,2020-2024,2022,Census,Texas (State)
County,Montgomery,TX,48339,48339,64224,2020-2024,2022,Census,Texas (State)
County,Moore,TX,48341,48341,3867,2020-2024,2022,Census,Texas (State)
County,Morris,TX,48343,48343,2303,2020-2024,2022,Census,Texas (State)
County,Motley,TX,48345,48345,190,2020-2024,2022,Census,Texas (State)
County,Nacogdoches,TX,48347,48347,13099,2020-2024,2022,Census,Texas (State)
County,Navarro,TX,48349,48349,9106,2020-2024,2022,Census,Texas (State)
County,Newton,TX,48351,48351,2260,2020-2024,2022,Census,Texas (State)
County,Nolan,TX,48353,48353,3165,2020-2024,2022,Census,Texas (State)
County,Nueces,TX,48355,48355,60147,2020-2024,2022,Census,Texas (State)
County,Ochiltree,TX,48357,48357,1151,2020-2024,2022,Census,Texas (State)
County,Oldham,TX,48359,48359,363,2020-2024,2022,Census,Texas (State)
County,Orange,TX,48361,48361,10594,2020-2024,2022,Census,Texas (State)
County,Palo Pinto,TX,48363,48363,4858,2020-2024,2022,Census,Texas (State)
County,Panola,TX,48365,48365,2495,2020-2024,2022,Census,Texas (State)
County,Parker,TX,48367,48367,13026,2020-2024,2022,Census,Texas (State)
County,Parmer,TX,48369,48369,977,2020-2024,2022,Census,Texas (State)
County,Pecos,TX,48371,48371,2741,2020-2024,2022,Census,Texas (State)
County,Polk,TX,48373,48373,8538,2020-2024,2022,Census,Texas (State)
County,Potter,TX,48375,48375,22778,2020-2024,2022,Census,Texas (State)
County,Presidio,TX,48377,48377,1896,2020-2024,2022,Census,Texas (State)
County,Rains,TX,48379,48379,1268,2020-2024,2022,Census,Texas (State)
County,Randall,TX,48381,48381,13930,2020-2024,2022,Census,Texas (State)
County,Reagan,TX,48383,48383,380,2020-2024,2022,Census,Texas (State)
County,Real,TX,48385,48385,484,2020-2024,2022,Census,Texas (State)
County,Red River,TX,48387,48387,1785,2020-2024,2022,Census,Texas (State)
County,Reeves,TX,48389,48389,1957,2020-2024,2022,Census,Texas (State)
County,Refugio,TX,48391,48391,958,2020-2024,2022,Census,Texas (State)
County,Roberts,TX,48393,48393,47,2020-2024,2022,Census,Texas (State)
County,Robertson,TX,48395,48395,2291,2020-2024,2022,Census,Texas (State)
County,Rockwall,TX,48397,48397,4949,2020-2024,2022,Census,Texas (State)
County,Runnels,TX,48399,48399,1060,2020-2024,2022,Census,Texas (State)
County,Rusk,TX,48401,48401,6899,2020-2024,2022,Census,Texas (State)
County,Sabine,TX,48403,48403,1088,2020-2024,2022,Census,Texas (State)
County,San Augustine,TX,48405,48405,2070,2020-2024,2022,Census,Texas (State)
County,San Jacinto,TX,48407,48407,5148,2020-2024,2022,Census,Texas (State)
County,San Patricio,TX,48409,48409,10250,2020-2024,2022,Census,Texas (State)
County,San Saba,TX,48411,48411,546,2020-2024,2022,Census,Texas (State)
County,Schleicher,TX,48413,48413,234,2020-2024,2022,Census,Texas (State)
County,Scurry,TX,48415,48415,1692,2020-2024,2022,Census,Texas (State)
County,Shackelford,TX,48417,48417,299,2020-2024,2022,Census,Texas (State)
County,Shelby,TX,48419,48419,4917,2020-2024,2022,Census,Texas (State)
County,Sherman,TX,48421,48421,234,2020-2024,2022,Census,Texas (State)
County,Smith,TX,48423,48423,27158,2020-2024,2022,Census,Texas (State)
County,Somervell,TX,48425,48425,716,2020-2024,2022,Census,Texas (State)
County,Starr,TX,48427,48427,21981,2020-2024,2022,Census,Texas (State)
County,Stephens,TX,48429,48429,1293,2020-2024,2022,Census,Texas (State)
County,Sterling,TX,48431,48431,62,2020-2024,2022,Census,Texas (State)
County,Stonewall,TX,48433,48433,176,2020-2024,2022,Census,Texas (State)
County,Sutton,TX,48435,48435,147,2020-2024,2022,Census,Texas (State)
County,Swisher,TX,48437,48437,1901,2020-2024,2022,Census,Texas (State)
County,Tarrant,TX,48439,48439,237215,2020-2024,2022,Census,Texas (State)
County,Taylor,TX,48441,48441,20529,2020-2024,2022,Census,Texas (State)
County,Terrell,TX,48443,48443,64,2020-2024,2022,Census,Texas (State)
County,Terry,TX,48445,48445,1991,2020-2024,2022,Census,Texas (State)
County,Throckmorton,TX,48447,48447,397,2020-2024,2022,Census,Texas (State)
County,Titus,TX,48449,48449,5314,2020-2024,2022,Census,Texas (State)
County,Tom Green,TX,48451,48451,12762,2020-2024,2022,Census,Texas (State)
County,Travis,TX,48453,48453,142566,2020-2024,2022,Census,Texas (State)
County,Trinity,TX,48455,48455,2433,2020-2024,2022,Census,Texas (State)
County,Tyler,TX,48457,48457,3229,2020-2024,2022,Census,Texas (State)
County,Upshur,TX,48459,48459,5179,2020-2024,2022,Census,Texas (State)
County,Upton,TX,48461,48461,494,2020-2024,2022,Census,Texas (State)
County,Uvalde,TX,48463,48463,5324,2020-2024,2022,Census,Texas (State)
County,Val Verde,TX,48465,48465,7625,2020-2024,2022,Census,Texas (State)
County,Van Zandt,TX,48467,48467,6869,2020-2024,2022,Census,Texas (State)
County,Victoria,TX,48469,48469,14569,2020-2024,2022,Census,Texas (State)
County,Walker,TX,48471,48471,11582,2020-2024,2022,Census,Texas (State)
County,Waller,TX,48473,48473,8324,2020-2024,2022,Census,Texas (State)
County,Ward,TX,48475,48475,1644,2020-2024,2022,Census,Texas (State)
County,Washington,TX,48477,48477,4574,2020-2024,2022,Census,Texas (State)
County,Webb,TX,48479,48479,56731,2020-2024,2022,Census,Texas (State)
County,Wharton,TX,48481,48481,5589,2020-2024,2022,Census,Texas (State)
County,Wheeler,TX,48483,48483,732,2020-2024,2022,Census,Texas (State)
County,Wichita,TX,48485,48485,19500,2020-2024,2022,Census,Texas (State)
County,Wilbarger,TX,48487,48487,2121,2020-2024,2022,Census,Texas (State)
County,Willacy,TX,48489,48489,4393,2020-2024,2022,Census,Texas (State)
County,Williamson,TX,48491,48491,42919,2020-2024,2022,Census,Texas (State)
County,Wilson,TX,48493,48493,5904,2020-2024,2022,Census,Texas (State)
County,Winkler,TX,48495,48495,1196,2020-2024,2022,Census,Texas (State)
County,Wise,TX,48497,48497,6536,2020-2024,2022,Census,Texas (State)
County,Wood,TX,48499,48499,5625,2020-2024,2022,Census,Texas (State)
County,Yoakum,TX,48501,48501,1258,2020-2024,2022,Census,Texas (State)
County,Young,TX,48503,48503,2934,2020-2024,2022,Census,Texas (State)
County,Zapata,TX,48505,48505,5190,2020-2024,2022,Census,Texas (State)
County,Zavala,TX,48507,48507,3174,2020-2024,2022,Census,Texas (State)
