"county","pop2026","areaMi","densityMi","growthSince2020"
"Lipscomb County",3009,932,3.2285407725321886,-0.009871668311944748
"Sherman County",2785,923,3.0173347778981583,0.0003591954022987842
"Crockett County",2735,2807,0.974349839686498,-0.11631663974151862
"Real County",2728,699,3.9027181688125894,-0.0076391415060022005
"Hall County",2677,883,3.0317100792751983,-0.045632798573975064
"Cochran County",2556,775,3.298064516129032,-0.0011723329425556983
"Collingsworth County",2407,918,2.622004357298475,-0.08894776684330052
"Culberson County",2261,3812,0.5931269674711438,0.034782608695652195
"Schleicher County",2198,1311,1.6765827612509534,-0.09844134536505333
"Menard County",1992,902,2.2084257206208426,0.016845329249617125
"Armstrong County",1872,909,2.0594059405940595,0.011345218800648205
"Oldham County",1772,1501,1.1805463024650233,0.003397508493771184
"Dickens County",1682,902,1.8647450110864745,-0.04323094425483509
"Jeff Davis County",1647,2265,0.7271523178807947,-0.17111222949169602
"Throckmorton County",1572,913,1.7217962760131436,0.07892930679478383
"Briscoe County",1476,900,1.64,0.03943661971830981
"Irion County",1417,1052,1.346958174904943,-0.059096945551128766
"Edwards County",1359,2118,0.6416430594900849,-0.04363124560168896
"Sterling County",1325,923,1.4355362946912242,-0.041937816341287015
"Cottle County",1181,901,1.3107658157602664,-0.13543191800878474
"Stonewall County",1148,916,1.2532751091703056,-0.07717041800643087
"Glasscock County",1111,900,1.2344444444444445,-0.0053715308863026
"Motley County",1083,990,1.093939393939394,0.019774011299435124
"Foard County",1040,704,1.4772727272727273,-0.04587155963302747
"Roberts County",881,924,0.9534632034632035,0.06917475728155331
"Terrell County",693,2358,0.29389312977099236,-0.07845744680851063
"Kent County",649,903,0.7187153931339978,-0.14379947229551449
"Borden County",574,897,0.6399108138238573,-0.10730948678071539
"McMullen County",530,1140,0.4649122807017544,-0.11371237458193983
"Kenedy County",315,1459,0.21590130226182316,-0.09742120343839544
"King County",172,911,0.18880351262349068,-0.35580524344569286
"Loving County",57,669,0.08520179372197309,-0.09523809523809523
